x,y
29,52
12,40
91,73
91,1
83,2
40,29
90,4
68,18
41,48
63,64
54,49
65,36
83,19
34,46
78,33
40,26
21,95
82,91
52,46
22,28
96,10
18,38
69,60
63,15
6,93
65,37
6,31
90,51
52,44
31,96
4,18
66,85
84,59
20,6
76,26
46,15
29,84
37,64
52,11
50,81
78,29
90,88
85,58
57,78
38,54
34,56
37,92
65,96
56,10
47,81
29,19
93,83
6,66
31,15
56,85
86,80
37,65
10,50
69,42
15,70
36,30
15,38
49,76
92,22
99,54
30,51
5,59
32,69
19,48
2,15
59,69
43,57
37,55
59,66
48,76
66,95
44,21
16,1
10,0
71,16
72,92
42,70
79,37
58,18
2,82
57,29
68,7
75,99
90,58
74,27
21,49
60,92
55,39
91,91
75,80
27,59
83,84
62,81
60,22
82,3
